producto,periodo,unidades
Calefones,Feb-22,"31,635"
Calefones,Mar-22,"48,929"
Calefones,Apr-22,"51,989"
Calefones,May-22,"67,088"
Calefones,Jun-22,"74,707"
Calefones,Jul-22,"68,524"
Calefones,Aug-22,"47,416"
Calefones,Sep-22,"41,216"
Calefones,Oct-22,"38,969"
Calefones,Nov-22,"32,848"
Calefones,Dec-22,"26,339"
Calefones,Jan-23,"28,294"
Calefones,Feb-23,"28,554"
Calefones,Mar-23,"39,820"
Calefones,Apr-23,"58,144"
Calefones,May-23,"65,208"
Calefones,Jun-23,"66,315"
Calefones,Jul-23,"71,382"
Calefones,Aug-23,"53,899"
Calefones,Sep-23,"43,670"
Calefones,Oct-23,"47,612"
Calefones,Nov-23,"37,875"
Calefones,Dec-23,"26,420"
Calefones,Jan-24,"23,618"
Calefones,Feb-24,"22,744"
Calefones,Mar-24,"30,743"
Calefones,Apr-24,"40,969"
Calefones,May-24,"72,961"
Calefones,Jun-24,"55,821"
Calefones,Jul-24,"73,849"
Calefones,Aug-24,"55,259"
Calefones,Sep-24,"39,088"
Calefones,Oct-24,"35,893"
Calefones,Nov-24,"37,823"
Calefones,Dec-24,"32,481"
